date,close
19960102,620.73
19960103,621.32
19960104,617.7
19960105,616.71
19960108,618.46
19960109,609.45
19960110,598.48
19960111,602.69
19960112,601.81
19960115,599.82
19960116,608.44
19960117,606.37
19960118,608.24
19960119,611.83
19960122,613.4
19960123,612.79
19960124,619.96
19960125,617.03
19960126,621.62
19960129,624.22
19960130,630.15
19960131,636.02
19960201,638.46
19960202,635.84
19960205,641.43
19960206,646.33
19960207,649.93
19960208,656.07
19960209,656.37
19960212,661.45
19960213,660.51
19960214,655.58
19960215,651.32
19960216,647.98
19960220,640.65
19960221,648.1
19960222,658.86
19960223,659.08
19960226,650.46
19960227,647.24
19960228,644.75
19960229,640.43
19960301,644.37
19960304,650.81
19960305,655.79
19960306,652
19960307,653.65
19960308,633.5
19960311,640.02
19960312,637.09
19960313,638.55
19960314,640.87
19960315,641.43
19960318,652.65
19960319,651.69
19960320,649.98
19960321,649.19
19960322,650.62
19960325,650.04
19960326,652.97
19960327,648.91
19960328,648.94
19960329,645.5
19960401,653.73
19960402,655.26
19960403,655.88
19960404,655.86
19960408,644.24
19960409,642.19
19960410,633.5
19960411,631.18
19960412,636.71
19960415,642.49
19960416,645
19960417,641.61
19960418,643.61
19960419,645.07
19960422,647.89
19960423,651.58
19960424,650.17
19960425,652.87
19960426,653.46
19960429,654.16
19960430,654.17
19960501,654.58
19960502,643.38
19960503,641.63
19960506,640.81
19960507,638.26
19960508,644.77
19960509,645.44
19960510,652.09
19960513,661.51
19960514,665.6
19960515,665.42
19960516,664.85
19960517,668.91
19960520,673.15
19960521,672.76
19960522,678.42
19960523,676
19960524,678.51
19960528,672.23
19960529,667.93
19960530,671.7
19960531,669.12
19960603,667.68
19960604,672.56
19960605,678.44
19960606,673.03
19960607,673.31
19960610,672.16
19960611,670.97
19960612,669.04
19960613,667.92
19960614,665.85
19960617,665.16
19960618,662.06
19960619,661.96
19960620,662.1
19960621,666.84
19960624,668.85
19960625,668.48
19960626,664.39
19960627,668.55
19960628,670.63
19960701,675.88
19960702,673.61
19960703,672.4
19960705,657.44
19960708,652.54
19960709,654.75
19960710,656.06
19960711,645.67
19960712,646.19
19960715,629.8
19960716,628.37
19960717,634.07
19960718,643.56
19960719,638.73
19960722,633.77
19960723,626.87
19960724,626.65
19960725,631.17
19960726,635.9
19960729,630.91
19960730,635.26
19960731,639.95
19960801,650.02
19960802,662.49
19960805,660.23
19960806,662.38
19960807,664.16
19960808,662.59
19960809,662.1
19960812,665.77
19960813,660.2
19960814,662.05
19960815,662.28
19960816,665.21
19960819,666.58
19960820,665.69
19960821,665.07
19960822,670.68
19960823,667.03
19960826,663.88
19960827,666.4
19960828,664.81
19960829,657.4
19960830,651.99
19960903,654.72
19960904,655.61
19960905,649.44
19960906,655.68
19960909,663.76
19960910,663.81
19960911,667.28
19960912,671.15
19960913,680.54
19960916,683.98
19960917,682.94
19960918,681.47
19960919,683
19960920,687.03
19960923,686.48
19960924,685.61
19960925,685.83
19960926,685.86
19960927,686.19
19960930,687.31
19961001,689.08
19961002,694.01
19961003,692.78
19961004,701.46
19961007,703.34
19961008,700.64
19961009,696.74
19961010,694.61
19961011,700.66
19961014,703.54
19961015,702.57
19961016,704.41
19961017,706.99
19961018,710.82
19961021,709.85
19961022,706.57
19961023,707.27
19961024,702.29
19961025,700.92
19961028,697.26
19961029,701.5
19961030,700.9
19961031,705.27
19961101,703.77
19961104,706.73
19961105,714.14
19961106,724.59
19961107,727.65
19961108,730.82
19961111,731.87
19961112,729.56
19961113,731.13
19961114,735.88
19961115,737.62
19961118,737.02
19961119,742.16
19961120,743.95
19961121,742.75
19961122,748.73
19961125,757.03
19961126,755.96
19961127,755
19961129,757.02
19961202,756.56
19961203,748.28
19961204,745.1
19961205,744.38
19961206,739.6
19961209,749.76
19961210,747.54
19961211,740.73
19961212,729.33
19961213,728.64
19961216,720.98
19961217,726.04
19961218,731.54
19961219,745.76
19961220,748.87
19961223,746.92
19961224,751.03
19961226,755.82
19961227,756.79
19961230,753.85
19961231,740.74
19970102,737.01
19970103,748.03
19970106,747.65
19970107,753.23
19970108,748.41
19970109,754.85
19970110,759.5
19970113,759.51
19970114,768.86
19970115,767.2
19970116,769.75
19970117,776.17
19970120,776.7
19970121,782.72
19970122,786.23
19970123,777.56
19970124,770.52
19970127,765.02
19970128,765.02
19970129,772.5
19970130,784.17
19970131,786.16
19970203,786.73
19970204,789.26
19970205,778.28
19970206,780.15
19970207,789.56
19970210,785.43
19970211,789.59
19970212,802.77
19970213,811.82
19970214,808.48
19970218,816.29
19970219,812.49
19970220,802.8
19970221,801.77
19970224,810.28
19970225,812.1
19970226,805.68
19970227,795.07
19970228,790.82
19970303,795.31
19970304,790.95
19970305,801.99
19970306,798.56
19970307,804.97
19970310,813.65
19970311,811.34
19970312,804.26
19970313,789.56
19970314,793.17
19970317,795.71
19970318,789.66
19970319,785.77
19970320,782.65
19970321,784.1
19970324,790.89
19970325,789.07
19970326,790.5
19970327,773.88
19970331,757.12
19970401,759.64
19970402,750.11
19970403,750.32
19970404,757.9
19970407,762.13
19970408,766.12
19970409,760.6
19970410,758.34
19970411,737.65
19970414,743.73
19970415,754.72
19970416,763.53
19970417,761.77
19970418,766.34
19970421,760.37
19970422,774.61
19970423,773.64
19970424,771.18
19970425,765.37
19970428,772.96
19970429,794.05
19970430,801.34
19970501,798.53
19970502,812.97
19970505,830.24
19970506,827.76
19970507,815.62
19970508,820.26
19970509,824.78
19970512,837.66
19970513,833.13
19970514,836.04
19970515,841.88
19970516,829.75
19970519,833.27
19970520,841.66
19970521,839.35
19970522,835.66
19970523,847.03
19970527,849.71
19970528,847.21
19970529,844.08
19970530,848.28
19970602,846.36
19970603,845.48
19970604,840.11
19970605,843.43
19970606,858.01
19970609,862.91
19970610,865.27
19970611,869.57
19970612,883.48
19970613,893.27
19970616,893.9
19970617,894.42
19970618,889.06
19970619,897.99
19970620,898.7
19970623,878.62
19970624,896.34
19970625,888.99
19970626,883.68
19970627,887.3
19970630,885.14
19970701,891.03
19970702,904.03
19970703,916.92
19970707,912.2
19970708,918.75
19970709,907.54
19970710,913.78
19970711,916.68
19970714,918.38
19970715,925.76
19970716,936.59
19970717,931.61
19970718,915.3
19970721,912.94
19970722,933.98
19970723,936.56
19970724,940.3
19970725,938.79
19970728,936.45
19970729,942.29
19970730,952.29
19970731,954.29
19970801,947.14
19970804,950.3
19970805,952.37
19970806,960.32
19970807,951.19
19970808,933.54
19970811,937
19970812,926.53
19970813,922.02
19970814,924.77
19970815,900.81
19970818,912.49
19970819,926.01
19970820,939.35
19970821,925.05
19970822,923.55
19970825,920.16
19970826,913.02
19970827,913.7
19970828,903.67
19970829,899.47
19970902,927.58
19970903,927.86
19970904,930.87
19970905,929.05
19970908,931.2
19970909,933.62
19970910,919.03
19970911,912.59
19970912,923.91
19970915,919.77
19970916,945.64
19970917,943
19970918,947.29
19970919,950.51
19970922,955.43
19970923,951.93
19970924,944.48
19970925,937.91
19970926,945.22
19970929,953.34
19970930,947.28
19971001,955.41
19971002,960.46
19971003,965.03
19971006,972.69
19971007,983.12
19971008,973.84
19971009,970.62
19971010,966.98
19971013,968.1
19971014,970.28
19971015,965.72
19971016,955.23
19971017,944.16
19971020,955.61
19971021,972.28
19971022,968.49
19971023,950.69
19971024,941.64
19971027,876.99
19971028,921.85
19971029,919.16
19971030,903.68
19971031,914.62
19971103,938.99
19971104,940.76
19971105,942.76
19971106,938.03
19971107,927.51
19971110,921.13
19971111,923.78
19971112,905.96
19971113,916.66
19971114,928.35
19971117,946.2
19971118,938.23
19971119,944.59
19971120,958.98
19971121,963.09
19971124,946.67
19971125,950.82
19971126,951.64
19971128,955.4
19971201,974.77
19971202,971.68
19971203,976.77
19971204,973.1
19971205,983.79
19971208,982.37
19971209,975.78
19971210,969.79
19971211,954.94
19971212,953.39
19971215,963.39
19971216,968.04
19971217,965.54
19971218,955.3
19971219,946.78
19971222,953.7
19971223,939.13
19971224,932.7
19971226,936.46
19971229,953.35
19971230,970.84
19971231,970.43
19980102,975.04
19980105,977.07
19980106,966.58
19980107,964
19980108,956.05
19980109,927.69
19980112,939.21
19980113,952.12
19980114,957.94
19980115,950.73
19980116,961.51
19980120,978.6
19980121,970.81
19980122,963.04
19980123,957.59
19980126,956.95
19980127,969.02
19980128,977.46
19980129,985.49
19980130,980.28
19980202,1001.27
19980203,1006
19980204,1006.9
19980205,1003.54
19980206,1012.46
19980209,1010.74
19980210,1019.01
19980211,1020.01
19980212,1024.14
19980213,1020.09
19980217,1022.76
19980218,1032.08
19980219,1028.28
19980220,1034.21
19980223,1038.14
19980224,1030.56
19980225,1042.9
19980226,1048.67
19980227,1049.34
19980302,1047.7
19980303,1052.02
19980304,1047.33
19980305,1035.05
19980306,1055.69
19980309,1052.31
19980310,1064.25
19980311,1068.47
19980312,1069.92
19980313,1068.61
19980316,1079.27
19980317,1080.45
19980318,1085.52
19980319,1089.74
19980320,1099.16
19980323,1095.55
19980324,1105.65
19980325,1101.93
19980326,1100.8
19980327,1095.44
19980330,1093.55
19980331,1101.75
19980401,1108.15
19980402,1120.01
19980403,1122.7
19980406,1121.38
19980407,1109.55
19980408,1101.65
19980409,1110.67
19980413,1109.69
19980414,1115.75
19980415,1119.32
19980416,1108.17
19980417,1122.72
19980420,1123.65
19980421,1126.67
19980422,1130.54
19980423,1119.58
19980424,1107.9
19980427,1086.54
19980428,1085.11
19980429,1094.63
19980430,1111.75
19980501,1121
19980504,1122.07
19980505,1115.5
19980506,1104.92
19980507,1095.14
19980508,1108.14
19980511,1106.64
19980512,1115.79
19980513,1118.86
19980514,1117.37
19980515,1108.73
19980518,1105.82
